Time	UTC	GPS_lat(deg)	GPS_long(deg)	CBF:psi_ref	CBF:omega_safe
82.192	14:18:32.446	37.196148209	-3.620488659	0.,0.	0.
82.442	14:18:32.696	37.196148209	-3.620488659	0.,0.	0.
82.692	14:18:32.946	37.196148808	-3.620496815	0.,0.	0.
82.942	14:18:33.196	37.196149196	-3.620500298	0.,0.	0.
83.192	14:18:33.446	37.196149901	-3.620503693	0.,0.	0.
83.442	14:18:33.696	37.196150642	-3.620507088	0.,0.	0.
83.692	14:18:33.946	37.196150642	-3.620507088	0.,0.	0.
83.942	14:18:34.196	37.196152793	-3.620514759	0.,0.	0.
84.192	14:18:34.446	37.196154239	-3.620518683	0.,0.	0.
84.442	14:18:34.696	37.196156319	-3.620522430	0.,0.	0.
84.692	14:18:34.946	37.196158400	-3.620526045	0.,0.	0.
84.942	14:18:35.196	37.196160375	-3.620528867	0.,0.	0.
85.192	14:18:35.446	37.196162632	-3.620531689	0.,0.	0.
85.442	14:18:35.696	37.196165066	-3.620534731	0.,0.	0.
85.692	14:18:35.946	37.196167499	-3.620537200	0.,0.	0.
85.942	14:18:36.196	37.196170144	-3.620540242	0.,0.	0.
86.192	14:18:36.446	37.196172930	-3.620543064	0.,0.	0.
86.442	14:18:36.696	37.196175470	-3.620544651	0.,0.	0.
86.692	14:18:36.946	37.196177797	-3.620545313	0.,0.	0.
86.942	14:18:37.196	37.196177797	-3.620545313	0.,0.	0.
87.192	14:18:37.446	37.196183581	-3.620546680	0.,0.	0.
87.442	14:18:37.696	37.196186932	-3.620547253	0.,0.	0.
87.692	14:18:37.946	37.196189824	-3.620546592	0.,0.	0.
87.942	14:18:38.196	37.196192434	-3.620545578	0.,0.	0.
88.192	14:18:38.446	37.196194762	-3.620545667	0.,0.	0.
88.442	14:18:38.696	37.196197548	-3.620545314	0.,0.	0.
88.692	14:18:38.946	37.196200687	-3.620544433	0.,0.	0.
88.942	14:18:39.196	37.196203861	-3.620542758	0.,0.	0.
89.192	14:18:39.446	37.196207106	-3.620540157	0.,0.	0.
89.442	14:18:39.696	37.196207106	-3.620540157	0.,0.	0.
89.692	14:18:39.946	37.196212185	-3.620533808	0.,0.	0.
89.942	14:18:40.196	37.196213808	-3.620529973	0.,0.	0.
90.192	14:18:40.446	37.196214689	-3.620525696	0.,0.	0.
90.442	14:18:40.696	37.196215077	-3.620521508	0.,0.	0.
90.692	14:18:40.946	37.196215077	-3.620521508	0.,0.	0.
90.942	14:18:41.196	37.196215677	-3.620512029	0.,0.	0.
91.192	14:18:41.446	37.196215607	-3.620507312	0.,0.	0.
91.442	14:18:41.696	37.196215783	-3.620502550	0.,0.	0.
91.692	14:18:41.946	37.196215783	-3.620497348	0.,0.	0.
91.942	14:18:42.196	37.196215254	-3.620492410	0.,0.	0.
92.192	14:18:42.446	37.196215078	-3.620487781	0.,0.	0.
92.442	14:18:42.696	37.196214513	-3.620482931	0.,0.	0.
92.692	14:18:42.946	37.196213879	-3.620477860	0.,0.	0.
