Time	UTC	GPS_lat(deg)	GPS_long(deg)	CBF:psi_ref	CBF:py_rel	CBF:px_rel	CBF:omega_safe
57.386	16:34:5.113	37.196147867	-3.620329365	0.,0.	0.,0.	0.,0.	0.
57.636	16:34:5.363	37.196142682	-3.620328343	0.,0.	0.,0.	0.,0.	0.
57.886	16:34:5.613	37.196142682	-3.620328343	0.,0.	0.,0.	0.,0.	0.
58.136	16:34:5.863	37.196132489	-3.620327321	0.,0.	0.,0.	0.,0.	0.
58.386	16:34:6.113	37.196126948	-3.620327542	0.,0.	0.,0.	0.,0.	0.
58.636	16:34:6.363	37.196120839	-3.620328341	0.,0.	0.,0.	0.,0.	0.
58.886	16:34:6.613	37.196115582	-3.620330737	0.,0.	0.,0.	0.,0.	0.
59.136	16:34:6.863	37.196111498	-3.620334599	0.,0.	0.,0.	0.,0.	0.
59.386	16:34:7.113	37.196107946	-3.620339704	0.,0.	0.,0.	0.,0.	0.
59.636	16:34:7.363	37.196105033	-3.620345519	0.,0.	0.,0.	0.,0.	0.
59.886	16:34:7.613	37.196102582	-3.620350268	0.,0.	0.,0.	0.,0.	0.
60.136	16:34:7.863	37.196102582	-3.620350268	0.,0.	0.,0.	0.,0.	0.
60.386	16:34:8.113	37.196098106	-3.620359013	0.,0.	0.,0.	0.,0.	0.
60.636	16:34:8.363	37.196096472	-3.620362786	0.,0.	0.,0.	0.,0.	0.
60.886	16:34:8.613	37.196096009	-3.620364828	0.,0.	0.,0.	0.,0.	0.
61.136	16:34:8.863	37.196096186	-3.620365493	0.,0.	0.,0.	0.,0.	0.
61.386	16:34:9.113	37.196096186	-3.620365493	0.,0.	0.,0.	0.,0.	0.
61.636	16:34:9.363	37.196096186	-3.620365493	0.,0.	0.,0.	0.,0.	0.
61.886	16:34:9.613	37.196096931	-3.620365492	0.,0.	0.,0.	0.,0.	0.
62.136	16:34:9.863	37.196097570	-3.620365491	0.,0.	0.,0.	0.,0.	0.
62.386	16:34:10.113	37.196097924	-3.620365491	0.,0.	0.,0.	0.,0.	0.
62.636	16:34:10.363	37.196098208	-3.620365934	0.,0.	0.,0.	0.,0.	0.
62.886	16:34:10.613	37.196098207	-3.620365934	0.,0.	0.,0.	0.,0.	0.
63.136	16:34:10.863	37.196099272	-3.620366644	0.,0.	0.,0.	0.,0.	0.
63.386	16:34:11.113	37.196099485	-3.620366954	0.,0.	0.,0.	0.,0.	0.
63.636	16:34:11.363	37.196099378	-3.620367309	0.,0.	0.,0.	0.,0.	0.
63.886	16:34:11.613	37.196099377	-3.620367308	0.,0.	0.,0.	0.,0.	0.
64.136	16:34:11.863	37.196099377	-3.620367308	0.,0.	0.,0.	0.,0.	0.
64.386	16:34:12.113	37.196099270	-3.620368462	0.,0.	0.,0.	0.,0.	0.
64.636	16:34:12.363	37.196099269	-3.620368905	0.,0.	0.,0.	0.,0.	0.
64.886	16:34:12.613	37.196099269	-3.620368905	0.,0.	0.,0.	0.,0.	0.
65.136	16:34:12.863	37.196099553	-3.620369704	0.,0.	0.,0.	0.,0.	0.
65.386	16:34:13.113	37.196099659	-3.620370147	0.,0.	0.,0.	0.,0.	0.
65.636	16:34:13.363	37.196099907	-3.620370591	0.,0.	0.,0.	0.,0.	0.
65.886	16:34:13.613	37.196099906	-3.620370590	0.,0.	0.,0.	0.,0.	0.
66.136	16:34:13.863	37.196100012	-3.620371522	0.,0.	0.,0.	0.,0.	0.
66.386	16:34:14.113	37.196100012	-3.620371522	0.,0.	0.,0.	0.,0.	0.
66.636	16:34:14.363	37.196100118	-3.620371743	0.,0.	0.,0.	0.,0.	0.
66.886	16:34:14.613	37.196100117	-3.620371743	0.,0.	0.,0.	0.,0.	0.
67.136	16:34:14.863	37.196100010	-3.620371742	0.,0.	0.,0.	0.,0.	0.
67.386	16:34:15.113	37.196099903	-3.620371609	0.,0.	0.,0.	0.,0.	0.
67.636	16:34:15.363	37.196099903	-3.620371608	0.,0.	0.,0.	0.,0.	0.
67.886	16:34:15.613	37.196099902	-3.620371608	0.,0.	0.,0.	0.,0.	0.
68.136	16:34:15.863	37.196100008	-3.620371741	0.,0.	0.,0.	0.,0.	0.
68.386	16:34:16.113	37.196100008	-3.620371741	0.,0.	0.,0.	0.,0.	0.
68.636	16:34:16.363	37.196099474	-3.620372095	0.,0.	0.,0.	0.,0.	0.
68.886	16:34:16.613	37.196099474	-3.620372095	0.,0.	0.,0.	0.,0.	0.
69.136	16:34:16.863	37.196099189	-3.620371961	0.,0.	0.,0.	0.,0.	0.
69.386	16:34:17.113	37.196098727	-3.620372182	0.,0.	0.,0.	0.,0.	0.
69.636	16:34:17.363	37.196098727	-3.620372182	0.,0.	0.,0.	0.,0.	0.
69.886	16:34:17.613	37.196098442	-3.620372315	0.,0.	0.,0.	0.,0.	0.
70.136	16:34:17.863	37.196098442	-3.620372315	0.,0.	0.,0.	0.,0.	0.
70.386	16:34:18.113	37.196098263	-3.620372403	0.,0.	0.,0.	0.,0.	0.
70.636	16:34:18.363	37.196098014	-3.620372402	0.,0.	0.,0.	0.,0.	0.
70.886	16:34:18.613	37.196098013	-3.620372402	0.,0.	0.,0.	0.,0.	0.
71.136	16:34:18.863	37.196097622	-3.620372623	0.,0.	0.,0.	0.,0.	0.
71.386	16:34:19.113	37.196097622	-3.620372623	0.,0.	0.,0.	0.,0.	0.
71.636	16:34:19.363	37.196097373	-3.620372622	0.,0.	0.,0.	0.,0.	0.
71.886	16:34:19.613	37.196097372	-3.620372622	0.,0.	0.,0.	0.,0.	0.
72.136	16:34:19.863	37.196097194	-3.620372755	0.,0.	0.,0.	0.,0.	0.
72.386	16:34:20.113	37.196096980	-3.620372399	0.,0.	0.,0.	0.,0.	0.
72.636	16:34:20.363	37.196096980	-3.620372177	0.,0.	0.,0.	0.,0.	0.
72.886	16:34:20.613	37.196096979	-3.620372176	0.,0.	0.,0.	0.,0.	0.
73.136	16:34:20.863	37.196096979	-3.620372176	0.,0.	0.,0.	0.,0.	0.
73.386	16:34:21.113	37.196096979	-3.620372176	0.,0.	0.,0.	0.,0.	0.
73.636	16:34:21.363	37.196096729	-3.620371864	0.,0.	0.,0.	0.,0.	0.
73.886	16:34:21.613	37.196096728	-3.620371864	0.,0.	0.,0.	0.,0.	0.
74.136	16:34:21.863	37.196096728	-3.620371864	0.,0.	0.,0.	0.,0.	0.
74.386	16:34:22.113	37.196096727	-3.620371285	0.,0.	0.,0.	0.,0.	0.
74.636	16:34:22.363	37.196096727	-3.620371152	0.,0.	0.,0.	0.,0.	0.
74.886	16:34:22.613	37.196096726	-3.620371151	0.,0.	0.,0.	0.,0.	0.
75.136	16:34:22.863	37.196096726	-3.620371151	0.,0.	0.,0.	0.,0.	0.
75.386	16:34:23.113	37.196096726	-3.620371151	0.,0.	0.,0.	0.,0.	0.
75.636	16:34:23.363	37.196096902	-3.620370040	0.,0.	0.,0.	0.,0.	0.
75.886	16:34:23.613	37.196096902	-3.620370039	0.,0.	0.,0.	0.,0.	0.
76.136	16:34:23.863	37.196096972	-3.620369683	0.,0.	0.,0.	0.,0.	0.
76.386	16:34:24.113	37.196096972	-3.620369683	0.,0.	0.,0.	0.,0.	0.
76.636	16:34:24.363	37.196097078	-3.620369549	0.,0.	0.,0.	0.,0.	0.
76.886	16:34:24.613	37.196097077	-3.620369549	0.,0.	0.,0.	0.,0.	0.
77.136	16:34:24.863	37.196097077	-3.620369326	0.,0.	0.,0.	0.,0.	0.
77.386	16:34:25.113	37.196096970	-3.620369459	0.,0.	0.,0.	0.,0.	0.
77.636	16:34:25.363	37.196097076	-3.620369325	0.,0.	0.,0.	0.,0.	0.
77.886	16:34:25.613	37.196097075	-3.620369325	0.,0.	0.,0.	0.,0.	0.
78.136	16:34:25.863	37.196097075	-3.620369325	0.,0.	0.,0.	0.,0.	0.
78.386	16:34:26.113	37.196097252	-3.620368880	0.,0.	0.,0.	0.,0.	0.
78.636	16:34:26.363	37.196097074	-3.620368879	0.,0.	0.,0.	0.,0.	0.
78.886	16:34:26.613	37.196097073	-3.620368879	0.,0.	0.,0.	0.,0.	0.
79.136	16:34:26.863	37.196097073	-3.620368879	0.,0.	0.,0.	0.,0.	0.
79.386	16:34:27.113	37.196096895	-3.620368523	0.,0.	0.,0.	0.,0.	0.
79.636	16:34:27.363	37.196096894	-3.620368522	0.,0.	0.,0.	0.,0.	0.
79.886	16:34:27.613	37.196096894	-3.620368522	0.,0.	0.,0.	0.,0.	0.
80.136	16:34:27.863	37.196096894	-3.620368522	0.,0.	0.,0.	0.,0.	0.
80.386	16:34:28.113	37.196096608	-3.620368210	0.,0.	0.,0.	0.,0.	0.
80.636	16:34:28.363	37.196096608	-3.620368210	0.,0.	0.,0.	0.,0.	0.
80.886	16:34:28.613	37.196096536	-3.620367943	0.,0.	0.,0.	0.,0.	0.
81.136	16:34:28.863	37.196096536	-3.620367943	0.,0.	0.,0.	0.,0.	0.
81.386	16:34:29.113	37.196096429	-3.620367720	0.,0.	0.,0.	0.,0.	0.
81.636	16:34:29.363	37.196096535	-3.620367630	0.,0.	0.,0.	0.,0.	0.
81.886	16:34:29.613	37.196096534	-3.620367497	0.,0.	0.,0.	0.,0.	0.
82.136	16:34:29.863	37.196096534	-3.620367497	0.,0.	0.,0.	0.,0.	0.
82.386	16:34:30.113	37.196096534	-3.620367497	0.,0.	0.,0.	0.,0.	0.
82.636	16:34:30.363	37.196096533	-3.620367051	0.,0.	0.,0.	0.,0.	0.
82.886	16:34:30.613	37.196096532	-3.620367051	0.,0.	0.,0.	0.,0.	0.
